Kruskal_Efficient	Prim	Kruskal
29316	29316	29316
16940	16940	16940
-44448	-44448	-44448
25217	25217	25217
-32021	-32021	-32021
25130	25130	25130
-41693	-41693	-41693
-37205	-37205	-37205
-114203	-114203	-114203
-31929	-31929	-31929
-79570	-79570	-79570
-79741	-79741	-79741
-139926	-139926	-139926
-198094	-198094	-198094
-110571	-110571	-110571
-233320	-233320	-233320
-141960	-141960	-141960
-271743	-271743	-271743
-288906	-288906	-288906
-229506	-229506	-229506
-510185	-510185	-510185
-515136	-515136	-515136
-444357	-444357	-444357
-393278	-393278	-393278
-1119906	-1119906	-1119906
-788168	-788168	-788168
-895704	-895704	-895704
-733645	-733645	-733645
-1541291	-1541291	-1541291
-1578294	-1578294	-1578294
-1664316	-1664316	-1664316
-1652119	-1652119	-1652119
-2089013	-2089013	-2089013
-1934208	-1934208	-1934208
-2229428	-2229428	-2229428
-2356163	-2356163	-2356163
-4811598	-4811598	-4811598
-4739387	-4739387	-4739387
-4717250	-4717250	-4717250
-4537267	-4537267	-4537267
-8722212	-8722212	-8722212
-9314968	-9314968	-9314968
-9845767	-9845767	-9845767
-8681447	-8681447	-8681447
-17844628	-17844628	-17844628
-18798446	-18798446	-18798446
-18741474	-18741474	-18741474
-18178610	-18178610	-18178610
-22079522	-22079522	-22079522
-22338561	-22338561	-22338561
-22581384	-22581384	-22581384
-22606313	-22606313	-22606313
-45962292	-45962292	-45962292
-45195405	-45195405	-45195405
-47854708	-47854708	-47854708
-46418161	-46418161	-46418161
-92003321	-92003321	-92003321
-94397064	-94397064	-94397064
-88771991	-88771991	-88771991
-93017025	-93017025	-93017025
-186834082	-186834082	0
-185997521	-185997521	0
-182065015	-182065015	0
-180793224	-180793224	0
-230698391	-230698391	0
-230168572	-230168572	0
-231393935	-231393935	0
-231011693	-231011693	0
