Solution	Run times	Run times minimim cut
3056.0	1272294.0	1272294.0
223.0	1238564.0	1238564.0
2302.0	970244.0	970244.0
5152.0	1002266.0	1002266.0
3626.0	4013058.0	4013058.0
1491.0	3541195.0	3541195.0
522.0	5079912.0	5079912.0
19249.0	3253359.0	3253359.0
2266.0	16677420.0	16677420.0
1407.0	16290747.0	16290747.0
437.0	16827044.0	16827044.0
6304.0	16381408.0	16381408.0
1722.0	44610958.0	44610958.0
3189.0	46227915.0	46227915.0
2255.0	42761890.0	42761890.0
257.0	45491223.0	45491223.0
969.0	89183879.0	89183879.0
2560.0	94553011.0	94553011.0
714.0	88345353.0	88345353.0
2930.0	87381548.0	87381548.0
2279.0	156321446.0	156321446.0
1532.0	159860019.0	159860019.0
772.0	153519846.0	153519846.0
9142.0	163136968.0	163136968.0
1565.0	465167359.0	465167359.0
7330.0	496956991.0	496956991.0
1285.0	468122728.0	468122728.0
3873.0	498681147.0	498681147.0
762.0	1092460435.0	1092460435.0
1590.0	1112675734.0	1112675734.0
1382.0	1139023232.0	1139023232.0
1581.0	1114163803.0	1114163803.0
1755.0	2117724101.0	2117724101.0
1398.0	2205417243.0	2205417243.0
129.0	2130626695.0	2130626695.0
3820.0	2074273748.0	2074273748.0
1540.0	3800150140.0	3800150140.0
3533.0	3560590467.0	3560590467.0
6750.0	3607232411.0	3607232411.0
2308.0	3694998544.0	3694998544.0
