Solution	Run times	Run times minimim cut
3056.0	36885923.0	4931093
223.0	36507523.0	3154376
2302.0	35573182.0	3122655
4974.0	34772395.0	3175126
1526.0	638970967.0	36893806
1684.0	644767563.0	35991446
522.0	652213844.0	36689078
2866.0	656893141.0	38793279
2137.0	6802964486.0	246537990
1446.0	6631324113.0	237595994
648.0	7021656712.0	256099913
2486.0	7341361826.0	486153899
1282.0	47551024570.0	1351461951
299.0	52157531345.0	1540361193
2113.0	53279523768.0	1574085391
159.0	51560100158.0	1514399483
969.0	99116889003.0	2555208400
1756.0	89350219751.0	2297486006
714.0	83416838611.0	2155063174
2610.0	84137665712.0	2182542358
341.0	245430956612.0	5605081537
890.0	237532323830.0	5390611758
772.0	234636825799.0	5367439482
1561.0	258187223934.0	5657668864
951.0	970693382545.0	18518334807
424.0	932852966833.0	18174683603
1153.0	947381676302.0	19403615226
707.0	945659922698.0	17689296040
484.0	2959821857229.0	53175031959
850.0	3074781157103.0	51278827923
1382.0	3176031956123.0	121979889644
1102.0	3185156812700.0	54438890738
346.0	5566995060500.0 867887312093
