Solution	Run times	Run times minimim cut
3056.0	808866.6666666666	946620
223.0	541941.0	556252
2302.0	604721.0	607216
4974.0	559634.6666666666	570252
1526.0	3494582.6666666665	3522927
1684.0	3146106.3333333335	3109861
522.0	3148909.3333333335	3093139
2866.0	4275116.666666667	3494837
2137.0	27132591.333333332	28275567
1446.0	27571642.333333332	27082704
648.0	25713271.333333332	25834276
2486.0	26915604.0	26878182
1282.0	97017312.66666667	96426503
299.0	90405701.33333333	90380717
2113.0	101066435.66666667	101090355
159.0	94536542.0	94305373
969.0	306886475.3333333	309471028
1756.0	319039226.3333333	318620543
714.0	310729471.6666667	311726106
2610.0	295375378.3333333	294592223
341.0	696253471.0	699233756
890.0	586205392.6666666	584656284
772.0	634170629.6666666	635070867
1561.0	648421524.3333334	647927336
951.0	2933397840.3333335	2935049237
424.0	2970661245.6666665	2976500289
1153.0	2910295726.0	2909212542
707.0	2922683069.6666665	2924142476
484.0	8654148367.333334	8646822101
850.0	8468454861.666667	8459500771
1382.0	8723678975.0	8711643697
1102.0	8803336571.0	8795073626
346.0	21599021931.0	21638028785
381.0	21090353588.333332	21084363153
129.0	21721239414.333332	21968579961
670.0	21910415870.666668	21837433301
1137.0	50896510519.333336	50991151865
869.0	52683243734.0	52831664078
868.0	51813905792.666664	51786264305
1148.0	50220126894.666664	50191524298
676.0	110449830882.66667	111225253445
290.0	111847658634.66667	111623157498
818.0	114204519650.0	114180803353
175.0	110199753486.0	110206402897
508.0	207128832580.0	206136735095
904.0	211429883121.66666	211975620366
362.0	209133829006.66666	209183795043
509.0	204902029763.0	206524343423
400.0	352565648129.6667	352828815492
364.0	342621030508.0	340500554606
336.0	344360436864.3333	346001592697
639.0	345338351196.3333	347708334394
43.0	531854548775.3333	531216895370
805.0	537122846273.6667	531322485463
363.0	526825133550.6667	528161948753
584.0	548218280963.3333	551255848388
